"id";"артикул";"Наименование";"Товар";"Фабрика";"Коллекция";"Тип";"Размер";"Ширина";"Длина";"Вес";"Шт";"М2";"ЕдИзм";"Линк";"Неликвид";"Цена1";"Цена2";"Цена3";"Цена4";"Цена5";"Цена6";"Цена7";"Цена8";"Цена9";"Цена10";"Цена11";"Акция";"Распродажа";"Новинка";"Материал";"Стиль";"Поверхность";"Назначение";"Цвет"
"304422";"+7231";"декор, 3446 Top, 32x75";"+7231 Декор керамич. 3446 TOP, 32x75";"Colli";"Suite";"декор";"32x75";"32";"75";"9";"2";"0,48";"шт";;"1";"3168";"3009,6";"5376";"2508";"3009,6";"2508";"2508";"2508";"2508";"2508";"2508";"1";"0";"0";"Керамическая плитка";;;"Плитка для ванной";"бежевый"
"304425";"+7233";"бордюр, 3442 Listello Top, 2,7x32";"+7233 Бордюр керамич. 3442 LISTELLO TOP, 2,7x32";"Colli";"Suite";"бордюр";"2,7x32";"2,7";"32";"2,5";"12";"0,1037";"шт";;"1";"384";"364,8";"560";"304";"364,8";"304";"304";"304";"304";"304";"304";"1";"0";"0";"Керамическая плитка";;;"Плитка для ванной";"бежевый"
"304426";"+7234";"декор, 3440 Mosaico Mix, 32x32";"+7234 Декор керамич. 3440 MOSAICO MIX, 32x32";"Colli";"Suite";"декор";"32x32";"32";"32";"11";"6";"0,6144";"шт";;"1";"1243,2";"1003,96";"1243,2";"801,8";"886,16";"843,6";"826,88";"801,8";"785,08";"768,36";"843,6";"1";"0";"0";"Мозаика";;;"Плитка для ванной";"бежевый"
"304427";"+7235";"декор, 3441 Mosaico Top, 32x32";"+7235 Декор керамич. 3441 MOSAICO TOP, 32x32";"Colli";"Suite";"декор";"32x32";"32";"32";"10";"6";"0,6144";"шт";;"1";"1152";"1094,4";"1646,4";"912";"1094,4";"912";"912";"912";"912";"912";"912";"1";"0";"0";"Мозаика";;;"Плитка для ванной";"бежевый"
"304428";"+7236";"плитка, 3433 Marfil, 32x32";"+7236 Плитка облиц. керамич. 3433 MARFIL, 32x32";"Colli";"Suite";"плитка";"32x32";"32";"32";"21,9";"12";"1,23";"м2";;"1";"2400";"2280";"3696";"1900";"2280";"1900";"1900";"1900";"1900";"1900";"1900";"1";"0";"0";"Керамическая плитка";"Мрамор";"матовая";"Плитка для пола";"бежевый"
"304429";"+7237";"плитка, 3432 Travertino, 32x75";"+7237 Плитка облиц. керамич. 3432 TRAVERTINO, 32x75";"Colli";"Suite";"плитка";"32x75";"32";"75";"22,2";"5";"1,2";"м2";;"1";"2784";"2644,8";"4569,6";"2204";"2644,8";"2204";"2204";"2204";"2204";"2204";"2204";"1";"0";"0";"Керамическая плитка";"Мрамор";"матовая";"Плитка для ванной";"бежевый"
"304432";"+7239";"бордюр, 3458 London Travertino, 5x32";"+7239 Бордюр керамич. 3458 LONDON TRAVERTINO, 5x32";"Colli";"Suite";"бордюр";"5x32";"5";"32";"9";"12";"0,192";"шт";;"1";"884,8";"714,4";"1086,4";"570,76";"630,8";"600,4";"589";"570,76";"558,6";"546,44";"600,4";"1";"0";"0";"Керамическая плитка";;;"Плитка для ванной";"бежевый"
"304436";"+7240";"плитка, 3434 Travertino, 32x32";"+7240 Плитка облиц. керамич. 3434 TRAVERTINO, 32x32";"Colli";"Suite";"плитка";"32x32";"32";"32";"21,9";"12";"1,23";"м2";;"1";"2400";"2280";"3696";"1900";"2280";"1900";"1900";"1900";"1900";"1900";"1900";"1";"0";"0";"Керамическая плитка";"Мрамор";"матовая";"Плитка для пола";"бежевый"
"298167";"+3324";"плитка, 4126 WoodLine Betulla, 14,6x59,3";"+3324 Плитка облиц. керамич. 4126 WOODLINE BETULLA, 14,6x59,3";"Colli";"WoodLine";"плитка";"14,6x59,3";"14,6";"59,3";"23,3";"12";"1,03";"м2";;"1";"2880";"2736";"2880";"2280";"2736";"2280";"2280";"2280";"2280";"2280";"2280";"0";"1";"0";"Керамогранит";"Дерево";"матовая";"Плитка для пола";"бежевый"
"298168";"+3325";"плитка, 4127 WoodLine Rovere, 14,6x59,3";"+3325 Плитка облиц. керамич. 4127 WOODLINE ROVERE, 14,6x59,3";"Colli";"WoodLine";"плитка";"14,6x59,3";"14,6";"59,3";"23,3";"12";"1,03";"м2";;"1";"2880";"2736";"2880";"2280";"2736";"2280";"2280";"2280";"2280";"2280";"2280";"0";"1";"0";"Керамогранит";"Дерево";"матовая";"Плитка для пола";"бежевый"
